"sample_no","daily_rate_of_change_Ox","mean_Oxygen","site","pre_run.DOC.mg_L","original.DOC.mg_L","change_DOC","total.run.days","daily_DOC_loss","watershed","type","predicted_daily_rate","ID"
"319",-0.0699503248680501,8.03976269430052,"fc_2_lw2",9.71,"10.06",1.37,14.8888888888889,0.0920149253731344,"fc","sample",-0.143281494414716,319
"327",-0.0886171320882898,8.17727518427518,"dhs_1_lw1",3.7,"2.251",-0.04,6.88888888888889,-0.00580645161290323,"dh","sample",-0.0602957512664673,327
"331dummi",-0.142232001284113,8.06906883604506,"dh_3_rw1",2.06,"1.173",0.38,6.88194444444444,0.0552169525731584,"dh","dummy",-0.112064318647594,331
"335",-0.213625935871405,7.66330160320641,"dh_s2l_stream",3.829,"0.8282",0.859,7.84027777777778,0.109562444641275,"dh","sample",-0.15816774905293,335
"338",-0.0910033684661058,8.14997788944724,"dh_n2_lw2",2.641,"1.573",0.0409999999999999,7.84027777777778,0.00522940655447298,"dh","sample",-0.0696579062423587,338
"340",-0.113530182153353,8.21215959252971,"dh_n1_stream",4.306,"4.213",0.146,5.01388888888889,0.0291191135734072,"dh","sample",-0.0899244895970701,340
"343",-0.11936607835731,8.16127301587302,"dh_2_lw1",4.06,"5.125",0.24,5.86805555555556,0.0408994082840236,"dh","sample",-0.0999181795366978,343
"350",-0.0725063206242191,8.21822653316646,"fc_4_stream",4.12,"4.222",0.2,6.88888888888889,0.0290322580645162,"fc","sample",-0.0898508066335511,350
"351dummy",-0.0122917178115107,8.26012191358025,"fc_4_rw1_dummy",4.62,"5.99",0.49,5.01388888888889,0.0977285318559557,"fc","dummy",-0.148128572779818,351
"352",-0.124997499535303,7.91539934354486,"fc_2_lw2",4.03,"4.623",0.185,6.84027777777778,0.0270456852791878,"fc","sample",-0.0881655183664264,352
"355",-0.0962981281779594,8.1898730606488,"fc_4_rw2",4.39,"8.507",0.399999999999999,5.875,0.0680851063829786,"fc","sample",-0.1229808824883,355
"358",-0.150035973148577,7.72015645514223,"fc_3_lw1",4.06,"4.007",0.0869999999999997,6.84027777777778,0.0127187817258883,"fc","sample",-0.0760114394215599,358
"359",-0.1798879701579,8.10294906621392,"fc_2_stream",4.231,"3.811",0.381,5.00694444444444,0.0760943134535367,"fc","sample",-0.129775409628041,359
"362",-0.034691039326804,8.35282950819672,"fc_2_lw2",4.069,"9.555",-0.0110000000000001,7.84027777777778,-0.00140301151461472,"fc","sample",-0.0640313636676036,362
"364",-0.0651689583624183,7.79943116119549,"fc_2_rw2",3.77,"1.487",0.42,14.8958333333333,0.0281958041958042,"fc","sample",-0.0891412097331293,364
"365",-0.222439801852317,7.88683351831298,"fc_1.5_stream",3.69,"3.534",-0.0899999999999999,6.88888888888889,-0.0130645161290322,"fc","sample",-0.0541384480649916,365
"366",-0.125284934000695,8.10673738680466,"fc_1_stream",4.11,"3.967",0.22,5.86805555555556,0.0374911242603551,"fc","sample",-0.097026797394277,366
"367",-0.0991939512200681,8.12505867014342,"fc_1.25_stream",3.95,"2.965",0.21,5.86805555555556,0.0357869822485207,"fc","sample",-0.0955811063230666,367
"368",-0.162956989724543,7.91067513812155,"fc_1_rw1",3.73,"4.853",0.26,6.88888888888889,0.0377419354838709,"fc","sample",-0.097239570475322,368
"369",-0.181609280710613,7.99714436090226,"fc_1_lw2",4.39,"4.571",0.5,5.875,0.0851063829787233,"fc","sample",-0.137420704653463,369
"370",-0.0927537863564474,8.0974625,"fc_1_lw1",3.95,"3.27",0.18,6.88194444444444,0.0261553985872856,"fc","sample",-0.0874102529528855,370
"377",-0.0870902887734598,8.14848050314465,"lx_3_lw1",4.24,"2.509",0.69,6.88888888888889,0.100161290322581,"lx","sample",-0.150192378008014,377
"378",-0.0968590807919609,8.03338179800222,"lx_3_rw1",3.34,"4.605",0.15,6.88888888888889,0.0217741935483871,"lx","sample",-0.0836935034320753,378
"380",-0.140325009699148,8.05781913499345,"lx_2.5_stream",4.04,"3.734",0.27,5.875,0.0459574468085106,"lx","sample",-0.104209113673588,380
"407",-0.18178543033035,7.77341954022988,"dh_1_rw1",4,"3.247",0.3,6.88194444444444,0.0435923309788093,"dh","sample",-0.10220269236971,407
"411",-0.151477246942691,8.0426557591623,"fc_1_lw2",4.38,"12.34626067",0.57,5.875,0.0970212765957447,"fc","sample",-0.147528580169077,411
"414",-0.176380158795802,7.39785452695829,"lx_1_stream",3.26,"1.2168218",0.21,14.8888888888889,0.0141044776119403,"lx","sample",-0.0771869800490233,414
"424",-0.0692058124595698,7.90217316017316,"fc_1_lw2",6.28,"7.84787",0.48,14.9236111111111,0.0321637971149372,"fc","sample",-0.0925074150692926,424
"429dummi",-0.041338122000313,8.37226076260763,"lx_1_rw1",1.5,"1.17",-0.0700000000000001,6.88194444444444,-0.0101715438950555,"lx","dummy",-0.0565926708345001,429
"437",-0.227899575741328,7.76781697905182,"fc_1_lw2",3.88,"12.99",0.35,6.88888888888889,0.0508064516129032,"fc","sample",-0.108322716237978,437
"444",-0.0766968498786815,8.03667392431312,"dh_1_rw1",3.53,"2.186698",0.69,14.8888888888889,0.0463432835820895,"dh","sample",-0.10453643426931,444
"H2OG2",0.0195279996531245,8.43593413173653,"H2O",0,NA,0,6.8375,0,"H2O","H2O",-0.065221593827648,NA
"H2OG3",0.033381613559674,8.51839737991266,"H2O",0,NA,-0.28,7.84027777777778,-0.0357130203720106,"H2O","H2O",-0.034924826117428,NA
"H2OG4",0.000395280964816812,8.44444075829384,"H2O",0,NA,0,5.86805555555556,0,"H2O","H2O",-0.065221593827648,NA
"H2OG5",0.000725234847034026,8.51033161953728,"H2O",0,NA,0,6.88888888888889,0,"H2O","H2O",-0.065221593827648,NA
"H2OG6",0.0605890847735909,8.52784782608696,"H2O",0,"H2O",0,6.89513888888889,0,"H2O","H2O",-0.065221593827648,NA
"H2OG7",0.0251363946564582,8.5900486794407,"H2O",0,"H2O",-0.04,14.8958333333333,-0.00268531468531469,"H2O","H2O",-0.0629435351699831,NA
"innG2",-0.0690352905099902,8.01431544359255,"1/2 innoculate no. 2 + WATER",2.26,NA,-0.124,6.84027777777778,-0.0181279187817259,"1/2 innoculate no. 2 + WATER","innoculate",-0.0498429633259803,NA
"innG3",0.0102436258331155,8.49004940923738,"1/2 #2 water",2.01,NA,-0.0900000000000003,7.84027777777778,-0.0114791851195749,"1/2 #2 water","innoculate",-0.0554833470636487,NA
"innG5",0.0371493086093681,8.39077125279642,"innG5",1.82,NA,-0.22,13.8958333333333,-0.015832083958021,"innG5","innoculate",-0.0517906108122549,NA
"innG6",-0.0283855395803929,8.2174825253664,"innG6",3.62,"3.3",0.27,6.88194444444444,0.0392330978809284,"innG6","innoculate",-0.0985045825155042,NA
"innG7",-0.0460628688714245,8.12357534955981,"innG7",NA,"2.2",NA,14.8888888888889,NA,"innG7","innoculate",NA,NA
"mixdummi",-0.272033167502496,7.80187111111111,"mixed",2.81,NA,0.0300000000000002,6.88888888888889,0.00435483870967746,"mixed","dummy",-0.0689159757485335,NA
